2022-05-01 13:56:49 [http-nio-8080-exec-4] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 91507
2022-05-01 13:56:49 [http-nio-8080-exec-4] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 167583
2022-05-01 13:56:49 [http-nio-8080-exec-4] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 167612
2022-05-01 13:56:49 [http-nio-8080-exec-4] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 167650
2022-05-01 13:56:49 [http-nio-8080-exec-4] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 167679
2022-05-01 14:42:42 [http-nio-8080-exec-2] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 62180
2022-05-01 14:42:42 [http-nio-8080-exec-2] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 62922
2022-05-01 14:42:42 [http-nio-8080-exec-2] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 62953
2022-05-01 14:42:42 [http-nio-8080-exec-2] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 62984
2022-05-01 14:42:42 [http-nio-8080-exec-2] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 63021
2022-05-01 16:29:01 [http-nio-8080-exec-5] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 229447
2022-05-01 16:29:01 [http-nio-8080-exec-5] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 230206
2022-05-01 16:29:01 [http-nio-8080-exec-5] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 230237
2022-05-01 16:29:01 [http-nio-8080-exec-5] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 230268
2022-05-01 16:29:01 [http-nio-8080-exec-5] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 230302
2022-05-01 20:13:42 [http-nio-8080-exec-2] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 69939
2022-05-01 20:13:42 [http-nio-8080-exec-2] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 70687
2022-05-01 20:13:42 [http-nio-8080-exec-2] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 70718
2022-05-01 20:13:42 [http-nio-8080-exec-2] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 70747
2022-05-01 20:13:42 [http-nio-8080-exec-2] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 70780
2022-05-01 20:53:44 [http-nio-8080-exec-2] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 91117
2022-05-01 20:53:44 [http-nio-8080-exec-2] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 91864
2022-05-01 20:53:44 [http-nio-8080-exec-2] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 91896
2022-05-01 20:53:44 [http-nio-8080-exec-2] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 91925
2022-05-01 20:53:44 [http-nio-8080-exec-2] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 91956
2022-05-01 22:56:25 [http-nio-8080-exec-5] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 470958
2022-05-01 22:56:25 [http-nio-8080-exec-5] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 476881
2022-05-01 22:56:25 [http-nio-8080-exec-5] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 476911
2022-05-01 22:56:25 [http-nio-8080-exec-5] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 476941
2022-05-01 22:56:25 [http-nio-8080-exec-5] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 476971
2022-05-01 23:01:54 [http-nio-8080-exec-8] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 328541
2022-05-01 23:03:35 [http-nio-8080-exec-1] ERROR com.alibaba.druid.pool.DruidAbstractDataSource discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, jdbcUrl : jdbc:mysql://192.168.1.109:3306/mall?useUnicode=true&characterEncoding=UTF-8&useSSL=false, lastPacketReceivedIdleMillis : 100597
